row_id,library_id,platform,brand,countryid,status,date_range,caption,cta_caption,cta_button,platforms,ad_link,overall_reach,gender,age_range,segments,ad_type,image_names,video_names,model_label
718349547759614_0,718350000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 R: Das Motorrad, das pure Emotionen weckt 🏍️✔️ Kraftvoller Boxerpunch für dynamische Fahrten✔️ Modernste Technik für höchste Präzision✔️ Roadster-Design, das Blicke auf sich zieht#MakeLifeARide #R1300R #NeverStopChallenging #BMWMotorrad","Pure Fahrfreude. Pure Power, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=718349547759614,5473.0,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""92""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""1048""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""91""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""62""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""975""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""56""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""51""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""1140""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""75""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""15""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""374""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""30""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""75""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""917""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""87""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""64""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""323""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""31""}]",single,"[""250725_BMWMOTORRAD_DE_META_718349547759614_0.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_1.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_2.jpg"", ""250725_BMWMOTORRAD_DE_META_718349547759614_3.jpg""]","[""no_videos_found""]",R 1300 R
614803191243407_0,614803000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 R: Das Motorrad, das pure Emotionen weckt 🏍️✔️ Kraftvoller Boxerpunch für dynamische Fahrten✔️ Modernste Technik für höchste Präzision✔️ Roadster-Design, das Blicke auf sich zieht#MakeLifeARide #R1300R #NeverStopChallenging #BMWMotorrad","Pure Fahrfreude. Pure Power, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=614803191243407,19830.0,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""5""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""2198""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""114""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""9""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""2707""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""150""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""32""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""6874""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""203""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""15""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2307""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""49""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""23""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""4130""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""230""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""1""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""599""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""35""}]",single,"[""250725_BMWMOTORRAD_DE_META_614803191243407_0.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_1.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_2.jpg"", ""250725_BMWMOTORRAD_DE_META_614803191243407_3.jpg""]","[""no_videos_found""]",R 1300 R
1151772940121479_0,1151770000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 RS – gemacht für Fahrer, die keine Kompromisse eingehen 🏍️✔️ Langstreckenperformer für adrenalingeladene Sprints zwischendurch✔️ Leichtbau für maximale Agilität✔️ Komfort für lange Touren#MakeLifeARide #R1300RS #NeverStopChallenging #BMWMotorrad","Dein nächstes Abenteuer wartet, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=1151772940121479,28263.0,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""218""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""3757""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""275""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""213""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""5117""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""439""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""312""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""7158""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""557""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""99""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2187""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""239""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""280""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""5798""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""504""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""74""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""513""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""59""}]",single,"[""250725_BMWMOTORRAD_DE_META_1151772940121479_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1151772940121479_3.jpg""]","[""no_videos_found""]",R 1300 RS
1239833641155401_0,1239830000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 21 Jul 2025,"Die neue BMW R 1300 RS – gemacht für Fahrer, die keine Kompromisse eingehen 🏍️✔️ Langstreckenperformer für adrenalingeladene Sprints zwischendurch✔️ Leichtbau für maximale Agilität✔️ Komfort für lange Touren#MakeLifeARide #R1300RS #NeverStopChallenging #BMWMotorrad","Dein nächstes Abenteuer wartet, Make Life a Ride",Learn More,['Facebook'],https://www.facebook.com/ads/library/?id=1239833641155401,21802.0,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""191""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""2416""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""165""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""183""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""3368""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""204""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""213""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""6669""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""305""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""64""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2322""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""90""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""228""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""4323""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""298""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""93""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""557""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""36""}]",single,"[""250725_BMWMOTORRAD_DE_META_1239833641155401_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1239833641155401_3.jpg""]","[""no_videos_found""]",R 1300 RS
589695003869245_0,589695000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 16 Jul 2025,Erlebe mit der neuen BMW R 1300 RT eine neue Dimension desTourenfahrens. Sichere sie Dir jetzt! 💪🏼#MakeLifeARide #R1300RT #RideAndShare #BMWMotorrad,"Die neue BMW R 1300 RT., Angebot sichern.",Contact Us,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=589695003869245,,,,,single,"[""250725_BMWMOTORRAD_DE_META_589695003869245_0.jpg"", ""250725_BMWMOTORRAD_DE_META_589695003869245_1.jpg"", ""250725_BMWMOTORRAD_DE_META_589695003869245_2.jpg"", ""250725_BMWMOTORRAD_DE_META_589695003869245_3.jpg""]","[""no_videos_found""]",R 1300 RT
1258096442653237_0,1258100000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 16 Jul 2025,Erlebe mit der neuen BMW R 1300 RT eine neue Dimension desTourenfahrens. Vereinbare jetzt Deine Probefahrt! 💪🏼#MakeLifeARide #R1300RT #RideAndShare #BMWMotorrad,"Mach jetzt eine Probefahrt, Jetzt Probe fahren",Book Now,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=1258096442653237,,,,,single,"[""250725_BMWMOTORRAD_DE_META_1258096442653237_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1258096442653237_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1258096442653237_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1258096442653237_3.jpg""]","[""no_videos_found""]",R 1300 RT
1079938027413762_0,1079940000000000.0,Meta,BMWMotorrad,DE,Inactive,16 Jul 2025 - 23 Jul 2025,Erlebe mit der neuen BMW R 1300 RT eine neue Dimension desTourenfahrens. Entdecke sie jetzt! 💪🏼#MakeLifeARide #R1300RT #RideAndShare #BMWMotorrad,"Jetzt Highlights entdecken, Die neue BMW R 1300 RT.",Learn More,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=1079938027413762,,,,,single,"[""250725_BMWMOTORRAD_DE_META_1079938027413762_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1079938027413762_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1079938027413762_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1079938027413762_3.jpg""]","[""no_videos_found""]",R 1300 RT
739194421989740_0,739194000000000.0,Meta,BMWMotorrad,DE,Active,Started running on 2 Jul 2025,Die neue BMW Motorrad R 1300 R: Entfessele die Boxer-Power und versetze Dich in den Kurvenrausch. Jetzt sichern! 💪#MakeLifeARide #NeverStopChallenging #R1300R #BMWMotorrad,BOXER-POWER UND KURVENRAUSCH,Get Quote,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=739194421989740,,,,,single,"[""250725_BMWMOTORRAD_DE_META_739194421989740_0.jpg"", ""250725_BMWMOTORRAD_DE_META_739194421989740_1.jpg"", ""250725_BMWMOTORRAD_DE_META_739194421989740_2.jpg"", ""250725_BMWMOTORRAD_DE_META_739194421989740_3.jpg"", ""250725_BMWMOTORRAD_DE_META_739194421989740_4.jpg""]","[""no_videos_found""]",R 1300 R
1251813729791132_0,1251810000000000.0,Meta,BMWMotorrad,DE,Inactive,2 Jul 2025 - 23 Jul 2025,Die neue BMW Motorrad R 1300 R: Entfessele die Boxer-Power und versetze Dich in den Kurvenrausch. Jetzt entdecken! 💪#MakeLifeARide #NeverStopChallenging #R1300R #BMWMotorrad,BOXER-POWER UND KURVENRAUSCH,Learn More,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=1251813729791132,37373.0,All,18-65+ years old,"[{""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Unknown"", ""reach"": ""39""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Male"", ""reach"": ""7959""}, {""location"": ""Germany"", ""age"": ""25-34"", ""gender"": ""Female"", ""reach"": ""506""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Unknown"", ""reach"": ""51""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Male"", ""reach"": ""8364""}, {""location"": ""Germany"", ""age"": ""35-44"", ""gender"": ""Female"", ""reach"": ""683""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Unknown"", ""reach"": ""68""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Male"", ""reach"": ""8022""}, {""location"": ""Germany"", ""age"": ""55-64"", ""gender"": ""Female"", ""reach"": ""421""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Unknown"", ""reach"": ""19""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Male"", ""reach"": ""2227""}, {""location"": ""Germany"", ""age"": ""65+"", ""gender"": ""Female"", ""reach"": ""133""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Unknown"", ""reach"": ""71""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Male"", ""reach"": ""7620""}, {""location"": ""Germany"", ""age"": ""45-54"", ""gender"": ""Female"", ""reach"": ""638""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Unknown"", ""reach"": ""22""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Male"", ""reach"": ""1974""}, {""location"": ""Germany"", ""age"": ""18-24"", ""gender"": ""Female"", ""reach"": ""123""}]",single,"[""250725_BMWMOTORRAD_DE_META_1251813729791132_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1251813729791132_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1251813729791132_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1251813729791132_3.jpg""]","[""no_videos_found""]",R 1300 R
1148682477285656_0,1148680000000000.0,Meta,BMWMotorrad,DE,Inactive,1 Jul 2025 - 1 Jul 2025 · Total active time 6 hrs,Erlebe mit der neuen BMW Motorrad R 1300 RT eine neue Dimension desTourenfahrens. Entdecke sie jetzt! 💪🏼#MakeLifeARide #R1300RT #RideAndShare #BMWMotorrad,"NEUE DIMENSION DES TOURENFAHRENS, Jetzt Highlights entdecken",Learn More,"['Facebook','Instagram']",https://www.facebook.com/ads/library/?id=1148682477285656,,,,,single,"[""250725_BMWMOTORRAD_DE_META_1148682477285656_0.jpg"", ""250725_BMWMOTORRAD_DE_META_1148682477285656_1.jpg"", ""250725_BMWMOTORRAD_DE_META_1148682477285656_2.jpg"", ""250725_BMWMOTORRAD_DE_META_1148682477285656_3.jpg""]","[""no_videos_found""]",R 1300 RT
